method,tree_id,split,domain,ok,MAE,error_sum,gt_B1,gt_B2,gt_B3,gt_B4,pred_B1,pred_B2,pred_B3,pred_B4,err_B1,err_B2,err_B3,err_B4,delta_B1,delta_B2,delta_B3,delta_B4
M20_weight_visibility_grid,DAMIMAS_A21B_0176,val,DAMIMAS,False,0.75,3,2,1,4,4,3,1,4,2,1,0,0,2,1,0,0,-2
M20_weight_visibility_grid,DAMIMAS_A21B_0177,val,DAMIMAS,False,1.0,4,0,4,10,3,0,3,7,3,0,1,3,0,0,-1,-3,0
M20_weight_visibility_grid,DAMIMAS_A21B_0178,val,DAMIMAS,True,0.0,0,1,2,4,3,1,2,4,3,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0179,val,DAMIMAS,True,0.25,1,0,1,7,3,0,2,7,3,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0180,val,DAMIMAS,True,0.5,2,0,1,7,4,0,1,8,5,0,0,1,1,0,0,1,1
M20_weight_visibility_grid,DAMIMAS_A21B_0181,val,DAMIMAS,True,0.25,1,0,0,8,3,0,0,9,3,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0182,val,DAMIMAS,True,0.25,1,0,3,5,2,0,4,5,2,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0183,val,DAMIMAS,True,0.25,1,0,3,10,1,0,3,11,1,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0184,val,DAMIMAS,True,0.25,1,0,0,5,0,0,0,6,0,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0185,val,DAMIMAS,True,0.25,1,0,2,6,3,0,3,6,3,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0186,val,DAMIMAS,True,0.25,1,0,1,6,0,0,2,6,0,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0187,val,DAMIMAS,True,0.25,1,0,1,3,0,0,1,2,0,0,0,1,0,0,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0188,val,DAMIMAS,True,0.0,0,0,2,3,1,0,2,3,1,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0189,val,DAMIMAS,True,0.25,1,0,4,1,0,0,5,1,0,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0190,val,DAMIMAS,True,0.0,0,0,4,4,1,0,4,4,1,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0191,val,DAMIMAS,True,0.25,1,0,5,3,0,0,4,3,0,0,1,0,0,0,-1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0192,val,DAMIMAS,True,0.0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0193,val,DAMIMAS,True,0.5,2,0,0,8,6,0,0,9,5,0,0,1,1,0,0,1,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0194,test,DAMIMAS,True,0.0,0,0,0,6,1,0,0,6,1,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0195,test,DAMIMAS,True,0.5,2,1,2,5,0,2,3,5,0,1,1,0,0,1,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0196,test,DAMIMAS,True,0.25,1,0,1,2,4,0,1,3,4,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0197,test,DAMIMAS,True,0.25,1,0,0,7,2,0,0,8,2,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0198,test,DAMIMAS,True,0.0,0,1,0,7,2,1,0,7,2,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0199,test,DAMIMAS,True,0.5,2,1,2,7,0,2,2,8,0,1,0,1,0,1,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0200,test,DAMIMAS,True,0.25,1,0,1,4,1,0,2,4,1,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0201,test,DAMIMAS,False,0.75,3,1,0,7,1,2,0,9,1,1,0,2,0,1,0,2,0
M20_weight_visibility_grid,DAMIMAS_A21B_0202,test,DAMIMAS,True,0.0,0,1,1,3,1,1,1,3,1,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0203,test,DAMIMAS,True,0.25,1,0,1,5,0,0,1,6,0,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0204,test,DAMIMAS,True,0.25,1,1,1,6,1,1,1,7,1,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0205,test,DAMIMAS,True,0.25,1,0,0,7,0,0,0,8,0,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0206,test,DAMIMAS,True,0.5,2,0,2,7,1,0,3,8,1,0,1,1,0,0,1,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0207,test,DAMIMAS,True,0.25,1,3,1,6,0,3,1,7,0,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0208,test,DAMIMAS,False,0.5,2,0,3,6,1,0,3,8,1,0,0,2,0,0,0,2,0
M20_weight_visibility_grid,DAMIMAS_A21B_0209,test,DAMIMAS,True,0.25,1,0,1,6,1,0,2,6,1,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0210,test,DAMIMAS,True,0.25,1,1,1,7,1,1,1,8,1,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0211,test,DAMIMAS,True,0.25,1,0,5,7,1,0,5,8,1,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0212,test,DAMIMAS,True,0.0,0,1,0,5,3,1,0,5,3,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0213,test,DAMIMAS,True,0.25,1,0,2,7,3,0,1,7,3,0,1,0,0,0,-1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0214,test,DAMIMAS,False,0.5,2,1,1,5,6,1,1,5,4,0,0,0,2,0,0,0,-2
M20_weight_visibility_grid,DAMIMAS_A21B_0215,test,DAMIMAS,True,0.25,1,3,2,4,1,4,2,4,1,1,0,0,0,1,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0216,test,DAMIMAS,True,0.5,2,2,0,7,2,3,0,6,2,1,0,1,0,1,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0217,test,DAMIMAS,True,0.5,2,1,2,7,1,1,3,6,1,0,1,1,0,0,1,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0218,test,DAMIMAS,True,0.0,0,0,2,2,7,0,2,2,7,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0219,test,DAMIMAS,True,0.0,0,2,2,6,2,2,2,6,2,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0220,test,DAMIMAS,True,0.0,0,0,2,3,0,0,2,3,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0221,test,DAMIMAS,False,1.0,4,2,4,7,4,2,3,5,3,0,1,2,1,0,-1,-2,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0222,test,DAMIMAS,True,0.25,1,1,1,5,5,1,1,5,4,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0223,test,DAMIMAS,True,0.5,2,1,3,7,0,1,2,6,0,0,1,1,0,0,-1,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0224,test,DAMIMAS,True,0.5,2,1,2,5,2,2,3,5,2,1,1,0,0,1,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0225,test,DAMIMAS,True,0.0,0,1,1,4,0,1,1,4,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0226,test,DAMIMAS,True,0.25,1,0,0,6,3,0,0,5,3,0,0,1,0,0,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0227,test,DAMIMAS,True,0.25,1,1,0,1,5,1,0,1,4,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0228,test,DAMIMAS,True,0.25,1,2,2,3,4,2,2,3,3,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0229,test,DAMIMAS,True,0.25,1,2,0,7,2,2,0,8,2,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0230,train,DAMIMAS,True,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0231,train,DAMIMAS,True,0.0,0,0,0,5,3,0,0,5,3,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0232,test,DAMIMAS,True,0.25,1,0,0,2,4,0,0,2,3,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0233,test,DAMIMAS,True,0.25,1,0,0,9,4,0,0,8,4,0,0,1,0,0,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0234,test,DAMIMAS,False,0.75,3,0,0,6,5,0,0,5,3,0,0,1,2,0,0,-1,-2
M20_weight_visibility_grid,DAMIMAS_A21B_0235,test,DAMIMAS,True,0.25,1,0,3,8,1,0,3,9,1,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0236,test,DAMIMAS,True,0.5,2,0,3,8,3,0,3,9,2,0,0,1,1,0,0,1,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0237,test,DAMIMAS,False,1.0,4,1,2,3,1,2,3,5,1,1,1,2,0,1,1,2,0
M20_weight_visibility_grid,DAMIMAS_A21B_0238,test,DAMIMAS,True,0.0,0,2,1,6,3,2,1,6,3,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0239,test,DAMIMAS,True,0.0,0,0,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0240,train,DAMIMAS,True,0.0,0,0,5,2,1,0,5,2,1,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0241,val,DAMIMAS,True,0.0,0,1,2,5,0,1,2,5,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0242,train,DAMIMAS,True,0.0,0,0,2,5,1,0,2,5,1,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0243,val,DAMIMAS,False,0.75,3,1,4,3,1,2,6,3,1,1,2,0,0,1,2,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0244,train,DAMIMAS,True,0.25,1,0,0,0,7,0,0,0,8,0,0,0,1,0,0,0,1
M20_weight_visibility_grid,DAMIMAS_A21B_0245,train,DAMIMAS,True,0.5,2,0,0,3,2,0,0,2,3,0,0,1,1,0,0,-1,1
M20_weight_visibility_grid,DAMIMAS_A21B_0246,test,DAMIMAS,False,1.25,5,0,6,6,4,0,4,4,3,0,2,2,1,0,-2,-2,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0247,test,DAMIMAS,True,0.0,0,2,3,5,0,2,3,5,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0248,train,DAMIMAS,True,0.25,1,0,2,5,4,0,2,5,3,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0249,train,DAMIMAS,True,0.0,0,0,1,9,0,0,1,9,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0250,test,DAMIMAS,True,0.5,2,2,1,8,8,2,1,7,7,0,0,1,1,0,0,-1,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0251,train,DAMIMAS,True,0.5,2,1,4,6,2,1,3,5,2,0,1,1,0,0,-1,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0252,train,DAMIMAS,True,0.5,2,0,2,6,2,0,1,6,1,0,1,0,1,0,-1,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0253,train,DAMIMAS,True,0.0,0,0,2,4,0,0,2,4,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0254,test,DAMIMAS,True,0.5,2,0,2,6,3,0,3,5,3,0,1,1,0,0,1,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0255,train,DAMIMAS,True,0.0,0,1,2,6,1,1,2,6,1,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0256,train,DAMIMAS,True,0.0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0257,train,DAMIMAS,False,0.75,3,1,4,7,1,1,3,5,1,0,1,2,0,0,-1,-2,0
M20_weight_visibility_grid,DAMIMAS_A21B_0258,train,DAMIMAS,False,0.5,2,0,2,7,2,0,2,5,2,0,0,2,0,0,0,-2,0
M20_weight_visibility_grid,DAMIMAS_A21B_0259,train,DAMIMAS,False,0.5,2,1,8,3,0,1,6,3,0,0,2,0,0,0,-2,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0260,train,DAMIMAS,True,0.25,1,1,5,3,2,1,5,3,1,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0261,train,DAMIMAS,True,0.5,2,3,5,5,3,3,4,4,3,0,1,1,0,0,-1,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0262,train,DAMIMAS,True,0.25,1,2,2,7,2,2,2,8,2,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0263,val,DAMIMAS,True,0.25,1,0,7,3,1,0,8,3,1,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0264,train,DAMIMAS,True,0.0,0,3,2,7,0,3,2,7,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0265,train,DAMIMAS,True,0.0,0,1,2,8,1,1,2,8,1,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0266,train,DAMIMAS,True,0.25,1,2,1,9,0,2,1,8,0,0,0,1,0,0,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0267,train,DAMIMAS,True,0.5,2,1,5,4,2,2,4,4,2,1,1,0,0,1,-1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0268,train,DAMIMAS,False,1.0,4,2,6,5,6,2,4,4,5,0,2,1,1,0,-2,-1,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0269,train,DAMIMAS,True,0.25,1,0,0,5,0,0,0,6,0,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0270,test,DAMIMAS,True,0.25,1,1,2,7,0,1,2,6,0,0,0,1,0,0,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0271,test,DAMIMAS,True,0.75,3,0,6,6,3,0,5,5,2,0,1,1,1,0,-1,-1,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0272,val,DAMIMAS,True,0.25,1,1,1,5,2,1,2,5,2,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0273,train,DAMIMAS,True,0.25,1,0,1,6,0,0,1,7,0,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0274,train,DAMIMAS,True,0.25,1,0,1,8,3,0,1,8,2,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0275,test,DAMIMAS,True,0.75,3,3,4,8,2,3,3,7,1,0,1,1,1,0,-1,-1,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0276,train,DAMIMAS,True,0.25,1,1,1,3,0,2,1,3,0,1,0,0,0,1,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0277,val,DAMIMAS,True,0.5,2,1,3,5,0,2,3,4,0,1,0,1,0,1,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0278,val,DAMIMAS,False,0.75,3,2,4,6,0,3,4,4,0,1,0,2,0,1,0,-2,0
M20_weight_visibility_grid,DAMIMAS_A21B_0279,test,DAMIMAS,True,0.5,2,0,5,9,1,0,4,8,1,0,1,1,0,0,-1,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0280,test,DAMIMAS,True,0.75,3,2,3,4,4,2,2,3,3,0,1,1,1,0,-1,-1,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0281,train,DAMIMAS,False,0.75,3,0,0,10,5,0,0,8,4,0,0,2,1,0,0,-2,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0282,train,DAMIMAS,True,0.25,1,4,0,6,0,4,0,5,0,0,0,1,0,0,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0283,val,DAMIMAS,True,0.0,0,2,1,7,1,2,1,7,1,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0284,test,DAMIMAS,True,0.5,2,1,2,3,1,1,3,3,2,0,1,0,1,0,1,0,1
M20_weight_visibility_grid,DAMIMAS_A21B_0285,train,DAMIMAS,True,0.5,2,4,2,7,5,4,2,6,4,0,0,1,1,0,0,-1,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0286,train,DAMIMAS,True,0.75,3,1,3,5,1,2,3,4,2,1,0,1,1,1,0,-1,1
M20_weight_visibility_grid,DAMIMAS_A21B_0287,train,DAMIMAS,True,0.5,2,2,3,0,0,3,4,0,0,1,1,0,0,1,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0288,test,DAMIMAS,True,0.25,1,1,2,6,4,1,2,6,3,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0289,val,DAMIMAS,False,0.5,2,1,2,7,0,1,2,5,0,0,0,2,0,0,0,-2,0
M20_weight_visibility_grid,DAMIMAS_A21B_0290,train,DAMIMAS,True,0.25,1,0,1,7,0,0,1,8,0,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0291,train,DAMIMAS,False,1.0,4,3,5,5,3,3,4,3,2,0,1,2,1,0,-1,-2,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0292,train,DAMIMAS,True,0.5,2,0,3,7,4,0,3,8,3,0,0,1,1,0,0,1,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0293,train,DAMIMAS,False,1.0,4,0,2,7,4,0,1,5,3,0,1,2,1,0,-1,-2,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0294,test,DAMIMAS,True,0.5,2,0,2,10,3,0,2,9,2,0,0,1,1,0,0,-1,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0295,train,DAMIMAS,True,0.75,3,0,3,7,2,0,2,6,1,0,1,1,1,0,-1,-1,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0296,test,DAMIMAS,True,0.25,1,1,3,1,0,1,4,1,0,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0297,train,DAMIMAS,True,0.0,0,0,0,7,2,0,0,7,2,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0298,train,DAMIMAS,True,0.25,1,1,0,6,3,2,0,6,3,1,0,0,0,1,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0299,train,DAMIMAS,True,0.25,1,1,2,6,0,2,2,6,0,1,0,0,0,1,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0300,train,DAMIMAS,True,0.25,1,1,0,5,2,1,0,5,1,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0301,train,DAMIMAS,True,0.25,1,1,1,9,2,1,1,8,2,0,0,1,0,0,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0302,test,DAMIMAS,True,0.5,2,1,1,7,0,2,1,6,0,1,0,1,0,1,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0303,train,DAMIMAS,True,0.25,1,0,0,10,0,0,0,11,0,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0304,test,DAMIMAS,True,0.25,1,0,1,4,4,0,1,5,4,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0305,train,DAMIMAS,True,0.25,1,2,4,6,2,2,3,6,2,0,1,0,0,0,-1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0306,train,DAMIMAS,True,0.0,0,1,0,4,0,1,0,4,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0307,train,DAMIMAS,True,0.25,1,1,1,5,0,2,1,5,0,1,0,0,0,1,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0308,val,DAMIMAS,True,0.0,0,1,1,3,3,1,1,3,3,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0309,train,DAMIMAS,False,0.75,3,1,2,4,2,3,1,4,2,2,1,0,0,2,-1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0310,train,DAMIMAS,True,0.25,1,1,0,9,0,2,0,9,0,1,0,0,0,1,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0311,val,DAMIMAS,False,0.5,2,0,1,2,0,0,1,4,0,0,0,2,0,0,0,2,0
M20_weight_visibility_grid,DAMIMAS_A21B_0312,train,DAMIMAS,True,0.0,0,0,1,6,2,0,1,6,2,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0313,train,DAMIMAS,True,0.5,2,2,1,7,2,3,1,6,2,1,0,1,0,1,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0314,train,DAMIMAS,True,0.5,2,0,1,8,2,0,2,9,2,0,1,1,0,0,1,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0315,train,DAMIMAS,False,0.75,3,1,8,7,0,1,6,6,0,0,2,1,0,0,-2,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0316,train,DAMIMAS,True,0.25,1,1,2,6,4,1,2,6,3,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0317,train,DAMIMAS,True,0.25,1,0,1,6,0,0,2,6,0,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0318,train,DAMIMAS,False,0.5,2,0,0,8,4,0,0,8,2,0,0,0,2,0,0,0,-2
M20_weight_visibility_grid,DAMIMAS_A21B_0319,train,DAMIMAS,True,0.5,2,0,2,4,0,0,3,5,0,0,1,1,0,0,1,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0320,train,DAMIMAS,False,0.75,3,3,3,6,4,3,2,6,2,0,1,0,2,0,-1,0,-2
M20_weight_visibility_grid,DAMIMAS_A21B_0321,test,DAMIMAS,False,0.75,3,2,4,6,1,3,2,6,1,1,2,0,0,1,-2,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0322,train,DAMIMAS,True,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0323,test,DAMIMAS,False,1.0,4,0,0,3,0,0,0,7,0,0,0,4,0,0,0,4,0
M20_weight_visibility_grid,DAMIMAS_A21B_0324,train,DAMIMAS,False,0.5,2,0,0,6,0,0,0,8,0,0,0,2,0,0,0,2,0
M20_weight_visibility_grid,DAMIMAS_A21B_0325,test,DAMIMAS,True,0.5,2,0,2,4,1,0,2,5,2,0,0,1,1,0,0,1,1
M20_weight_visibility_grid,DAMIMAS_A21B_0326,train,DAMIMAS,True,0.25,1,0,0,5,2,0,0,4,2,0,0,1,0,0,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0327,train,DAMIMAS,True,0.5,2,1,1,5,0,2,1,4,0,1,0,1,0,1,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0328,train,DAMIMAS,True,0.25,1,0,1,4,2,0,1,5,2,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0329,train,DAMIMAS,True,0.25,1,1,0,2,0,2,0,2,0,1,0,0,0,1,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0330,val,DAMIMAS,True,0.25,1,2,1,8,0,3,1,8,0,1,0,0,0,1,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0331,test,DAMIMAS,False,0.5,2,0,1,6,0,0,1,8,0,0,0,2,0,0,0,2,0
M20_weight_visibility_grid,DAMIMAS_A21B_0332,train,DAMIMAS,True,0.0,0,0,0,4,2,0,0,4,2,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0333,train,DAMIMAS,True,0.0,0,1,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0334,train,DAMIMAS,False,0.75,3,2,0,8,4,2,0,7,2,0,0,1,2,0,0,-1,-2
M20_weight_visibility_grid,DAMIMAS_A21B_0335,train,DAMIMAS,False,0.75,3,2,0,2,0,4,0,3,0,2,0,1,0,2,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0336,train,DAMIMAS,False,1.0,4,1,0,6,4,3,0,7,3,2,0,1,1,2,0,1,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0337,train,DAMIMAS,True,0.25,1,0,0,6,2,0,0,7,2,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0338,val,DAMIMAS,True,0.25,1,0,0,7,4,0,0,6,4,0,0,1,0,0,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0339,train,DAMIMAS,True,0.5,2,2,3,3,0,3,3,2,0,1,0,1,0,1,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0340,train,DAMIMAS,True,0.25,1,1,1,1,0,1,2,1,0,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0341,train,DAMIMAS,False,1.0,4,0,1,6,1,0,1,10,1,0,0,4,0,0,0,4,0
M20_weight_visibility_grid,DAMIMAS_A21B_0342,val,DAMIMAS,False,0.75,3,0,2,4,4,0,4,5,4,0,2,1,0,0,2,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0343,train,DAMIMAS,False,0.75,3,0,3,4,0,0,5,5,0,0,2,1,0,0,2,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0344,val,DAMIMAS,True,0.25,1,0,3,6,2,0,3,7,2,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0345,train,DAMIMAS,True,0.5,2,1,1,4,1,1,1,5,2,0,0,1,1,0,0,1,1
M20_weight_visibility_grid,DAMIMAS_A21B_0346,test,DAMIMAS,True,0.75,3,1,1,6,2,2,1,7,3,1,0,1,1,1,0,1,1
M20_weight_visibility_grid,DAMIMAS_A21B_0347,train,DAMIMAS,True,0.5,2,2,2,4,1,3,2,5,1,1,0,1,0,1,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0348,test,DAMIMAS,False,0.75,3,2,0,4,7,3,0,4,5,1,0,0,2,1,0,0,-2
M20_weight_visibility_grid,DAMIMAS_A21B_0349,val,DAMIMAS,True,0.0,0,0,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0350,train,DAMIMAS,True,0.5,2,1,2,3,0,2,1,3,0,1,1,0,0,1,-1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0351,train,DAMIMAS,True,0.0,0,2,4,6,1,2,4,6,1,0,0,0,0,0,0,0,0
